Health Facility Name,Address,pincode,landline_number,Facility Type
Indra Ramanathan,"['Main Road', 'Amman Temble', 'Tamil Nadu', 'Sivaganga', 'Karaikkudi', 'Sakkottai']",630106.0,04575-240524,Others
Visweswara Medical College Hospital,"['Main Road', 'Karaikudi', 'Tamil Nadu', 'Sivaganga', 'Karaikkudi', 'Sakkottai']",630106.0,04565 - 286352 / 286452,Others
Ssm Hospital,"['Karaikudi Main Road Sri Ram Nagar', 'Kottaiyur', 'Tamil Nadu', 'Sivaganga', 'Karaikkudi', 'Sakkottai']",630106.0,04565 ?õÉ?™É?? 286685,Others
Anbu Nh,"['Silambani Sannathi St', 'Near Bus Stand', 'Tamil Nadu', 'Sivaganga', 'Devakottai', 'Devakottai Mpty']",630302.0,04561 - 272419 / 272629,Others
Amutha N H,"['Silambani Sannathi Street', 'Devakottai', 'Tamil Nadu', 'Sivaganga', 'Devakottai Mpty']",630302.0,04561 - 260508 / 273188 / 272622,Others
Sri Balamurugan N H,"['Silambani North Street Devakottai', 'Devakottai', 'Tamil Nadu', 'Sivaganga', 'Devakottai Mpty']",630302.0,04561 ?õÉ?™É?? 272439,Others
Shanthiniketan Hospital,"['A', 'Thiyagigal Road', 'Devakottai', 'Tamil Nadu', 'Sivaganga', 'Devakottai Mpty']",630303.0,04561 - 272554,Others
Dr Rm Devasena Hospital,"['Silambani North Street Devakottai', 'Devakottai', 'Tamil Nadu', 'Sivaganga', 'Devakottai Mpty']",630302.0,04561 ?õÉ?™É?? 272903,Others
Kavitha N H,"['Madurai Road', 'S M Puram South Ext', 'Tamil Nadu', 'Sivaganga', 'Karaikkudi', 'Sakkottai']",630001.0,04565-225722/226322,Others
Meenakshi N H,"['Bus Stand Road', 'Devakottai', 'Tamil Nadu', 'Sivaganga', 'Devakottai Mpty']",630302.0,"04561 ?õÉ?™É?? 272624, 272418",Others
Maniyam N H,"['A Mela Bazar Street Devakottai', 'S M Puram South Ext', 'Tamil Nadu', 'Sivaganga', 'Karaikkudi', 'Sakkottai']",630302.0,04561-27043227229,Others
Sugam Clinic,"['Vattanam Road', 'Devakottai', 'Tamil Nadu', 'Sivaganga', 'Devakottai Mpty']",630302.0,04561 - 272651 / 273659,Others
S M Hospital,"['Saraswathi Vasaga Salai Street Devakottai', 'Devakottai', 'Tamil Nadu', 'Sivaganga', 'Devakottai Mpty']",630302.0,04561-270063,Others
John Medical Centre,"['Am', 'Street South Side Subramaniyapuram Ii', 'Karaikudi', 'Tamil Nadu', 'Sivaganga', 'Karaikkudi', 'Sakkottai']",630002.0,04565 - 227101 / 227102,Others
Sri Sri Paramahemsa Yogananda Hospital,"['Sri Valvakas Nagar Pudukottai Road', 'Puthukottai Road', 'Tamil Nadu', 'Sivaganga', 'Tirupathur']",630211.0,04577-267755,Others
Poorani Hospital,"['Sekkalai Road', 'Karaikudi', 'Tamil Nadu', 'Sivaganga', 'Karaikkudi', 'Sakkottai']",630001.0,04565 ?õÉ?™É?? 238171,Others
Devaki Surgical Clinic,"['Arunachalam Chettiyar Street', 'Karaikudi', 'Tamil Nadu', 'Sivaganga', 'Karaikkudi', 'Sakkottai']",630001.0,04565 ?õÉ?™É?? 238332 / 234332,Others
Mano Surgical Clinic,"['Dr Alagappa Road', 'Karaikudi', 'Tamil Nadu', 'Sivaganga', 'Karaikkudi', 'Sakkottai']",630001.0,04565 ?õÉ?™É?? 238028,Others
Central N H,"['Justice Rajasekaran Street', 'Sivaganga E E E O E O C E O', 'Tamil Nadu', 'Sivaganga', 'Sivagangai Mpty']",630561.0,04575-245767,Others
Sri Balaji N H,"['Sekkalai St Street', 'Karaikudi', 'Tamil Nadu', 'Sivaganga', 'Karaikkudi', 'Sakkottai']",630002.0,04565 - 226706,Others
Saranya Clinic,"['Gomatheeswarar Nagar', 'Senjai Thidal', 'Tamil Nadu', 'Sivaganga', 'Karaikkudi', 'Sakkottai']",630061.0,04565-221036,Others
Sri Raghavakumar Hospital,"['College Road', 'Sekkalai Karaikudi', 'Tamil Nadu', 'Sivaganga', 'Karaikkudi', 'Sakkottai']",630002.0,04565 ?õÉ?™É?? 224508 / 226224,Others
Suriya Hospital,"['A', 'Subramaniam Middle Street', 'Devakottai', 'Tamil Nadu', 'Sivaganga', 'Devakottai Mpty']",630302.0,04561-273795,Others
Murali N H,"['Th Cross Street', 'Tt Nagar Karaikudi', 'Tamil Nadu', 'Sivaganga', 'Karaikkudi', 'Sakkottai']",630001.0,04565 ?õÉ?™É?? 233982,Others
V S Rathinaraja Clinic,"['Vcc Road', 'Sivaganga E E E O E O C E O', 'Tamil Nadu', 'Sivaganga', 'Karaikkudi', 'Sakkottai']",630001.0,04565-233054,Others
Padmini Urology Clinic,"['Voc Road', 'Karaikudi', 'Tamil Nadu', 'Sivaganga', 'Karaikkudi', 'Sakkottai']",630001.0,04565 ?õÉ?™É?? 238326 / 234498,Others
St Joesph S Hospital,"['Thruvadanai Main Road', 'Near Church', 'Tamil Nadu', 'Sivaganga', 'Devakottai', 'Devakottai Mpty']",630612.0,04561-277260,Others
Chella N H,"['Muthoorani South', 'Karaikudi', 'Tamil Nadu', 'Sivaganga', 'Karaikkudi', 'Sakkottai']",630001.0,04565-237393,Others
Rasool Clinic,"['Maranayanar Street', 'Ilayankudi', 'Tamil Nadu', 'Sivaganga', 'Ilayangudi']",630702.0,04564-265622,Others
Valli Surgical Clinic,"['Sivan Kovil Sannathi Street', 'Karaikudi', 'Tamil Nadu', 'Sivaganga', 'Karaikkudi', 'Sakkottai']",630001.0,04565-220668,Others
Kumararani Of Chettinad,"['Sivankoil Salai', 'Chettinadu Po', 'Tamil Nadu', 'Sivaganga', 'Karaikkudi', 'Sakkottai']",630102.0,04565 ?õÉ?™É?? 283566 / 283577,Others
Om Sakthi Hospital,"['Near New Bus Stand', 'Manamadurai', 'Tamil Nadu', 'Sivaganga']",630606.0,04574-260044,Others
Appollo Hospital,"['Madurai Main Road', 'Managiri', 'Tamil Nadu', 'Sivaganga', 'Karaikkudi', 'Sakkottai']",630307.0,04565 ?õÉ?™É?? 232940 / 233980,Others
Sri Parvathi Surgical N H,"['Gandhipuram Th Street', 'Karaikudi', 'Tamil Nadu', 'Sivaganga', 'Karaikkudi', 'Sakkottai']",630001.0,04565-233636,Others
Multicare Hospital,"['Plot No', 'Feet Road', 'Karaikudi', 'Tamil Nadu', 'Sivaganga', 'Karaikkudi', 'Sakkottai']",630003.0,04565-235900,Others
Shiva Poly Clinic,"['Mela Oorani Vaikkal Street', 'Karaikudi', 'Tamil Nadu', 'Sivaganga', 'Karaikkudi', 'Sakkottai']",630001.0,04565-233269,Others
Sri Sakthi Clinic,"['Ilayangudi Road East Indira Nagar', 'Indira Nagar', 'Tamil Nadu', 'Sivaganga', 'Sivagangai Mpty']",630561.0,04575-240524,Others
Vivek Hospital,"['Jawahar Street', 'Karaikudi', 'Tamil Nadu', 'Sivaganga', 'Karaikkudi', 'Sakkottai']",630001.0,04565-233044,Others
Sabari Maternity And Children Hospital,"['Justice Rajasekaran Street', 'Sivagangai', 'Tamil Nadu', 'Sivaganga', 'Sivagangai Mpty']",630561.0,04575-245431,Others
Sri Thandeeswarar Hospital,"['Main Raod Thiruppuvanam', 'Voc Street Sivaganga', 'Thiruppuvanam', 'Tamil Nadu', 'Sivaganga', 'Manamadurai', 'Thirupuvanam']",630561.0,04574-265349,Others
Meenakshi Clinic,"['A', 'Old Post Office Street', 'Manamadurai', 'Tamil Nadu', 'Sivaganga']",630606.0,04575-240524,Others
Sri Thandeeswarar Hospital,"['Main Road', 'Poovanthi', 'Tamil Nadu', 'Sivaganga', 'Karaikkudi', 'Sakkottai']",630561.0,04574-265349,Others
Santhose Hospital,"['Mesthiriyar Street', 'Thiruppthur', 'Tamil Nadu', 'Sivaganga', 'Tirupathur']",630211.0,04577 - 256251,Others
Rathnaa Fertility Centre,"['Sri Meenakshi Nagar', 'Kottaiyur Tp E O E E C E  E  C Tp', 'Tamil Nadu', 'Sivaganga', 'Devakottai', 'Devakottai Mpty']",630002.0,04561-295657,Others
Ogm Health Centre,"['No Road', 'Mayiladuthurai', 'Tamil Nadu', 'Nagapattinam  ', 'Mayiladuthurai Mpty']",609001.0,04364-226035,Others
K J Hospital,"['Manaveli Street', 'Kuthalam', 'Tamil Nadu', 'Nagapattinam  ']",609801.0,04364-235276,Others
Pkn Medical Centre,"['Jan', 'Thiyagarajan Chettiar Street Sekkalai Nd Street', 'Karaikudi', 'Tamil Nadu', 'Sivaganga', 'Karaikkudi', 'Sakkottai']",630001.0,04565-226716,Others
Thambiran Maternity Children Hospital,"['Taluk Office Road', 'Karaikudi', 'Tamil Nadu', 'Sivaganga', 'Karaikkudi', 'Sakkottai']",630001.0,04565 ?õÉ?™É?? 235862,Others
Kauvery Medical Centre Karaikudi Limited,"['Mudiyarasanar Salai', 'Marudhu Pandian Nagar', 'Tamil Nadu', 'Sivaganga', 'Karaikkudi', 'Sakkottai']",630001.0,04565-244555,Others
Venkatesh Nursing Home,"['Patta Mangalam Streert', 'Mayiladuthurai', 'Tamil Nadu', 'Nagapattinam  ', 'Mayiladuthurai Mpty']",609001.0,04364-223097,Others
Sivagami Surgical Clinic,"['Alar Street Kalayarkoil', 'Kalayarkoil', 'Tamil Nadu', 'Sivaganga']",630561.0,4575232322,Others
G D Karthik Clinic,"['Church Th Street', 'Tamil Nadu', 'Sivaganga', 'Karaikkudi', 'Karaikudi Mpty']",630001.0,4565232405,Others
Indian Surgical Nursing Home,"['Apr', 'Saraswathi Vasaga Salai Devakottai', 'Tamil Nadu', 'Sivaganga', 'Devakottai', 'Devakottai Mpty']",630302.0,4561272416,Others
Senthil Hospital,"['C B', 'Manthoppu Street Devakottai', 'Tamil Nadu', 'Sivaganga', 'Devakottai', 'Devakottai Mpty']",630302.0,4561272684,Others
Deonar Mat Home,"['Near Deonar Mun Mat Home', 'Deonar Colony', 'Near Nala Govandi W', 'Maharashtra', 'Mumbai (Suburban) *']",400043.0,022-25580116,Maternity Home
Shivaji Nagar Health Post,"['Plot No R No', 'Shivaji Nagar Uhc', 'Govandi Mumbai', 'Maharashtra', 'Mumbai (Suburban) *']",400044.0,25556579,Urban Health Centre
Mankhurd Health Post,"['Vijay Malang Bld Gala No Ground Floor', 'Ghatkopar Vashi Link Road', 'Mankhurd West', 'Maharashtra', 'Mumbai (Suburban) *']",400043.0,022-25512274,Urban Health Centre
Ayodhya Nagar Health Post And Dispensary,"['Ayodhyanagar Disp', 'Vashi Naka Bus Stop', 'Chembur Eest', 'Maharashtra', 'Mumbai (Suburban) *']",400074.0,25547375,Urban Health Centre
Shahaji Nagar Maternity Home Cheeta Camp,"['Sahaji Nagar Mat Home', 'Near Cheeta Camp Police Station', 'Trombay', 'Maharashtra', 'Mumbai (Suburban) *']",400088.0,022-25580125,Maternity Home
Shc Amlali B,"['Shc Amlai B', 'Opm Road', 'Rural', 'Madhya Pradesh', 'Shahdol', 'Jaitpur', 'Burhar']",484110.0,7652251797,SubCentre
Shc Amlai C,"['Amlai C', 'Opm Road', 'Opm', 'Madhya Pradesh', 'Shahdol', 'Jaitpur', 'Burhar']",484110.0,7652251797,SubCentre
Shc Amlai D,"['Amlai D', 'Opm Road', 'Opm', 'Madhya Pradesh', 'Shahdol', 'Jaitpur', 'Burhar']",484110.0,7652251797,SubCentre
Shc Barigawa,"['Sidhali Road', 'Jaitpur Road', 'Madhya Pradesh', 'Shahdol', 'Jaitpur', 'Burhar']",484110.0,7652251797,SubCentre
Shc Burhar A,"['Mch Centre', 'Satate Bank Burhar', 'Madhya Pradesh', 'Shahdol', 'Jaitpur', 'Burhar']",484110.0,7652251797,SubCentre
Dhanpuri Urban,"['Amerkantak Road', 'Madhya Pradesh', 'Shahdol', 'Jaitpur', 'Burhar']",484110.0,7652251797,Urban Health Centre
Bansa,"['Goverment Buliding', 'Jaisinghnagar', 'Madhya Pradesh', 'Shahdol']",484771.0,7651221270,SubCentre
Bhatigawakhurd,"['Goverment Buliding', 'Jaisinghnagar', 'Madhya Pradesh', 'Shahdol']",484771.0,7651221270,SubCentre
Rampaur,"['Goverment Buliding', 'Jaisinghnagar', 'Madhya Pradesh', 'Shahdol']",484771.0,7651221270,SubCentre
Kothigadh,"['Goverment Buliding', 'Jaisinghnagar', 'Madhya Pradesh', 'Shahdol']",484771.0,7651221270,SubCentre
Tagavar,"['Goverment Buliding', 'Jaisinghnagar', 'Madhya Pradesh', 'Shahdol']",484771.0,7651221270,SubCentre
Bhainsaha,"['Goverment Buliding', 'Jaisinghnagar', 'Madhya Pradesh', 'Shahdol']",484771.0,7651221270,SubCentre
Jamudi,"['Goverment Buliding', 'Jaisinghnagar', 'Madhya Pradesh', 'Shahdol']",484771.0,7651221270,SubCentre
Dhonda,"['Goverment Buliding', 'Jaisinghnagar', 'Madhya Pradesh', 'Shahdol']",484771.0,7651221270,SubCentre
Shc Harra,"['Shc Harra Tola', 'Chc Singhpur', 'Harra Tola', 'Madhya Pradesh', 'Shahdol', 'Sohagpur']",484001.0,274208,SubCentre
Shc Bamura,"['Shc Bamura', 'Phc Amraha', 'Bamura', 'Madhya Pradesh', 'Shahdol', 'Sohagpur']",484001.0,274208,SubCentre
Shc Kodwar Kalan,"['Shc Kodwar Kalan', 'Phc Amrha', 'Madhya Pradesh', 'Shahdol', 'Sohagpur']",484001.0,274208,SubCentre
Shc Arjhuli,"['Shc Arjhuli', 'Phc Khairha', 'Arjhuli', 'Madhya Pradesh', 'Shahdol', 'Sohagpur']",484001.0,274208,SubCentre
Shc Dhamni Kala,"['Shc Dhamni Kala', 'Phc Khairha', 'Dhamni Kala', 'Madhya Pradesh', 'Shahdol', 'Sohagpur']",484001.0,274208,SubCentre
Shc Dhanpura,"['Shc Dhanpura', 'Phc Bartara', 'Dhanpura', 'Madhya Pradesh', 'Shahdol', 'Sohagpur']",484001.0,274208,SubCentre
Shc Sonwarsha,"['Shc Sonwarsha', 'Phc Bartara', 'Bhudhar Rod', 'Madhya Pradesh', 'Shahdol', 'Sohagpur']",484001.0,274208,SubCentre
Shc Chituhala,"['Shc Chituhala', 'Phc Bartara', 'Chituhala', 'Madhya Pradesh', 'Shahdol', 'Sohagpur']",484001.0,274208,SubCentre
Shc Chapa,"['Shc Chapa', 'Phc Kanchanpur', 'Chapa', 'Madhya Pradesh', 'Shahdol', 'Sohagpur']",484001.0,274208,SubCentre
Shc Khetauli,"['Shc Khetauli', 'Phc Kanchanpur', 'Khetauli', 'Madhya Pradesh', 'Shahdol', 'Sohagpur']",484001.0,274208,SubCentre
Shc Gortara,"['Shc Gortara', 'Phc Kanchanpur', 'Gortara', 'Madhya Pradesh', 'Shahdol', 'Sohagpur']",484001.0,274208,SubCentre
Shc Shyamdih Kala,"['Shc Shyamdih Kala', 'Phc Kanchanpur', 'Shyamdih Kala', 'Madhya Pradesh', 'Shahdol', 'Sohagpur']",484001.0,274208,SubCentre
Shc Dudhi,"['Shc Dudhi', 'Phc Pachgawn', 'Dudhi', 'Madhya Pradesh', 'Shahdol', 'Sohagpur']",484001.0,274208,SubCentre
Shc Kelmaniya,"['Shc Kelmaniya', 'Phc Pachgawn', 'Kelmaniya', 'Madhya Pradesh', 'Shahdol', 'Sohagpur']",484001.0,274208,SubCentre
Shc Senduri,"['Shc Senduri', 'Phc Majhgawan', 'Senduri', 'Madhya Pradesh', 'Shahdol', 'Sohagpur']",484001.0,274208,SubCentre
Shc Kholhad,"['Shc Kholhad', 'Phc Majhgawn', 'Kholhad', 'Madhya Pradesh', 'Shahdol', 'Sohagpur']",484001.0,274208,SubCentre
Krantiveer Mahatma Jyotiba Phule Hospital Vikhroli,"['Krantiveer Mahatma Jyotiba Phule Hospital', 'Kannamwar Nagar', 'Vikhroli East Mumbai', 'Maharashtra', 'Mumbai (Suburban) *']",400083.0,25782283,Sub-District Hospital
Kanjur Village Health Post,"['Kanjur Village Mun Disp', 'Near Kanjur Village Police Station', 'Kanjurmarg E Mumbai Oe Tme', 'Maharashtra', 'Mumbai (Suburban) *']",400042.0,25790160,Urban Health Centre
Dr Babasaheb Ambedkar Maternity Home Tagore Nagar,"['Dr Babasaheb Ambedkar Mun Mat Home', 'Ground No', 'Vikroli East Mumbai', 'Maharashtra', 'Mumbai (Suburban) *']",400078.0,25740813,Maternity Home
Karunya Pvt Nursing Home,"['No', 'I St Cross Co Operative Coloney Krishnagiri', 'Urban', 'Tamil Nadu', 'Krishnagiri', 'Krishnagiri Mpty']",635001.0,04343-231222,Others
Jeeva Pvt Nursing Home,"['No G', 'Bangalore Road Krishnagiri', 'Urban', 'Tamil Nadu', 'Krishnagiri', 'Krishnagiri Mpty']",635001.0,"04343-236023,236043",Others
Sankari Hospital Vellore,"['Gph Road', 'Vellore', 'Tamil Nadu', 'Vellore Corp']",632001.0,"0416-2222667, 2222578",Others
Sarada Hospital,"['Phase Sathuvachari', 'Vellore', 'Tamil Nadu', 'Vellore Corp']",632009.0,0416 2252882,Others
Santha Hospital Vellore,"['Thennamaram St', 'Vellore', 'Tamil Nadu', 'Vellore Corp']",632001.0,0416-2221277,Others
Sandhya Hospital Vellore,"['Phase I Vallalar', 'Sathuvachary', 'Tamil Nadu', 'Vellore', 'Vellore Corp']",632009.0,0416-2253357,Others
Mummy Hospital Vellore,"['Feb', 'Masilamani Hostel Road Officers Line', 'Vellore', 'Tamil Nadu', 'Vellore Corp']",632001.0,0416 2225767,Others
Sri Narayani Hospital Research Centre Ariyur,"['Sri Narayani Hospital Research Centre', 'Thirumalaikodi', 'Vellroe', 'Tamil Nadu', 'Vellore', 'Vellore Corp']",632055.0,0416 2206300 / 2206301 / 302,Others
Sakthi Amma Hospital Vellore,"['Th Cross Phase Housing Board Office Road Sathuvachari', 'Vellore', 'Tamil Nadu', 'Vellore Corp']",632009.0,0416-2257844,Others
Varshini Hospital Vellore,"['Arani Road Velapadi', 'Vellore', 'Tamil Nadu', 'Vellore Corp']",632001.0,0416-2222108,Others
Gopi Kanna Hospital Arcot,"['Vedagiri Street', 'Arcot', 'Tamil Nadu', 'Vellore', 'Arcot Mpty']",632503.0,04172 235676,Others
Fathima Hospital Arcot,"['Fathima Hospital', 'Elankuppan Street', 'Arcot', 'Tamil Nadu', 'Vellore', 'Arcot Mpty']",632503.0,04172-237884,Others
Jaya Hospital Arcot,"['Jaya Hospital', 'New Vellore Main Road', 'Arcot', 'Tamil Nadu', 'Vellore', 'Arcot Mpty']",632503.0,04172-233573,Others
Apollo Kh Hospital,"['Apollo Kh Hospital', 'Ranipet Vellore Bypass Road Melvisharam', 'Arcot', 'Tamil Nadu', 'Vellore', 'Arcot Mpty']",632509.0,04172 269582- 269585,Others
Ruba Nh Ranipet,"['A', 'Othavadai Street Navalpur Ranipettai', 'Ranipet', 'Tamil Nadu', 'Vellore', 'Wallajah']",632401.0,04172 ?õÉ?™É?? 272698,Others
Rajeswari Hospital Ranipet,"['Arcot Road Ranipet', 'Ranipet', 'Tamil Nadu', 'Vellore', 'Wallajah']",632401.0,04172 ?õÉ?™É?? 272931,Others
Anjugam Hospital Ranipet,"['M S Road Ranipet', 'Ranipet', 'Tamil Nadu', 'Vellore', 'Wallajah']",632401.0,0416 274655,Others
Thirumalai Mission Hos Ranipet,"['Thirumalai Mission Hospital', 'Thirumalai Nagar Vanapadi Road P O', 'Ranipet', 'Tamil Nadu', 'Vellore', 'Wallajah']",632404.0,"04172 ?õÉ?™É?? 244520,244521",Others
Cmch Vellore,"['Cmc', 'Ida Scudder Road Vellore', 'Vellore', 'Tamil Nadu', 'Vellore Corp']",632004.0,0416 228 2500,Others
Chad Bagayam,"['Chad', 'Arni Road Bagayam', 'Vellore', 'Tamil Nadu', 'Vellore Corp']",632002.0,0416- 2284305,Others
Smh Rapnipet,"['Smh Hospital', 'Kellys Road Navalpur Ranipet', 'Ranipet', 'Tamil Nadu', 'Vellore', 'Wallajah']",632401.0,04172-272741,Others
Nalam Hospital Vellore,"['Arcot Road Phase Sathuvachari', 'Vellore', 'Tamil Nadu', 'Vellore Corp']",632009.0,"0416-2254460,2254461",Others
Kumaran Nursing Home Katpadi,"['Katpadi Road Virudhampet', 'Katpadi', 'Tamil Nadu', 'Vellore']",632002.0,0416-2243630,Others
K S Hospital Thirupathur,"['F', 'Gandhi Road', 'Thirupathur', 'Tamil Nadu', 'Vellore', 'Tirupathur', 'Tirupattur Mpty']",635001.0,"04179 220475,",Others
Sundaram Hospital Thirupathur,"['Cutchery Street Tirupattur', 'Thirupathur', 'Tamil Nadu', 'Vellore', 'Tirupathur', 'Tirupattur Mpty']",635601.0,04179-635601,Others
Ark Private Nursing Home,"['No A', 'Iv Th Cross Co Op Coloney Krishnagiri', 'Urban', 'Tamil Nadu', 'Krishnagiri', 'Krishnagiri Mpty']",635001.0,04343- 233059,Others
Zed Key Private Nursing Home,"['No', 'R S Laksmipuram New Pet Krishnagiri', 'Urban', 'Tamil Nadu', 'Krishnagiri', 'Krishnagiri Mpty']",635001.0,04343-230280,Others
Sri Arunachala Pvt Nursing Home,"['No', 'Ptv Coloney Krishnagiri', 'Urban', 'Tamil Nadu', 'Krishnagiri', 'Krishnagiri Mpty']",635001.0,4343.232853,Others
Om Sakthi Pvt Nursing Home,"['No', 'Ii Nd Cross Co Op Coloney Krishnagiri', 'Urban', 'Tamil Nadu', 'Krishnagiri', 'Krishnagiri Mpty']",635001.0,04343-233111.,Others
Razak Pvt Nursing Home,"['Lf Road', 'Kayalpattinam', 'Tamil Nadu', 'Thoothukkudi', 'Tiruchendur', 'Kayalpatnam Mpty']",628004.0,4639285158,Others
St Luies Private Hospital,"['No', 'Bangalore Road Krishnagiri', 'Urban', 'Tamil Nadu', 'Krishnagiri', 'Krishnagiri Mpty']",635001.0,04343-233303,Others
Supa Hospita,"['Supa Hospita', 'C K Srinivasarao St', 'Dharmapuri', 'Tamil Nadu', 'Dharmapuri Mpty']",636701.0,04342-260576,Others
St Mary S Hospital,"['St Mary S Hospital', 'South Narashimma Achari St Dharmapuri', 'Dharmapuri', 'Tamil Nadu', 'Dharmapuri Mpty']",636701.0,04342-260690,Others
Padma Poly Clinic,"['No A', 'Bangalore Road Krishnagiri', 'Urban', 'Tamil Nadu', 'Krishnagiri', 'Krishnagiri Mpty']",635001.0,04343-230220,Others
Sri Laksmi Pvt Nursing Home,"['Near Bus Stand Uthangarai', 'Msm Thottam Uthangarai', 'Urban', 'Tamil Nadu', 'Krishnagiri', 'Uthangarai']",635207.0,04343-230220,Others
Om Sakthi Nursing Home,"['Om Sakthi Nursing Home', 'Senkodpuram Dharmapuri', 'Dharmapuri', 'Tamil Nadu', 'Dharmapuri Mpty']",636701.0,04342-261388,Others
Iyerpadi Valparai,"['Parry Agro Industries Limited', 'Rottikadai', 'Valparai', 'Tamil Nadu', 'Coimbatore', 'Anamalai']",642108.0,04253-222488,Others
Mudis Garden Valparai,"['Mudis Garden Estate', 'Mudis Nagar', 'Valparai', 'Tamil Nadu', 'Coimbatore']",642125.0,9442202336,Others
Ramana Gownder Coimbatore,"['Mettupalayam Road', 'Thudiyalur', 'Tamil Nadu', 'Coimbatore', 'Coimbatore North', 'Periyanaickenpalayam']",641034.0,0422-2648332,Others
Ramana Gownder Coimbatore,"['Mettupalayam Road', 'Thudiyalur', 'Tamil Nadu', 'Coimbatore', 'Coimbatore North', 'Periyanaickenpalayam']",641034.0,0422-2648332,Others
Gknm Hospital Coimbatore,"['Nethaji Road', 'Pappanaickenpalayam', 'Tamil Nadu', 'Coimbatore', 'Coimbatore North', 'Periyanaickenpalayam']",641037.0,0422-2245000,Others
Sellialiparai Valparai,"['Apr', 'Central Hospital Road', 'Sellaliparai Uralikal', 'Tamil Nadu', 'Coimbatore', 'Valparai', 'Anamalai']",642120.0,04253-237202,Others
Stanmore Garden Valparai,"['Stanemore Hospital Road', 'Valparai', 'Tamil Nadu', 'Coimbatore', 'Anamalai']",642127.0,04253-222222,Others
Water Falls Valparai,"['Estate Hospital', 'Waterfall Estate', 'Valparai', 'Tamil Nadu', 'Coimbatore', 'Anamalai']",642105.0,04253-236234,Others
Sri Ramakrishna Hpl Coimbatore,"['Sarojini Naidu Road', 'Coimbatore', 'Tamil Nadu', 'Coimbatore South', 'Coimbatore Corpn']",641044.0,0422-4500000,Others
Ananda Ashramam Private Hospital,"['Near Mathigiri Rountana', 'Mathigiri Road', 'Urban', 'Tamil Nadu', 'Krishnagiri', 'Hosur', 'Hosur Mpty']",635109.0,04344-262707,Others
K M T Pvt Nursing Home,"['Nd Cross Street', 'Kayithe Millath', 'Kayalpattinam', 'Tamil Nadu', 'Thoothukkudi', 'Tiruchendur', 'Kayalpatnam Mpty']",628202.0,4639280308,Others
Kiruba Hospital Mettupalayam,"['Parry Company Road', 'Mettupalayam', 'Tamil Nadu', 'Coimbatore']",641305.0,04254-223106,Others
Andal Private Nursing Home,"['No A', 'Tank Street Hosur', 'Urban', 'Tamil Nadu', 'Krishnagiri', 'Hosur']",635109.0,04344 - 243745,Others
Vijay Private Nursing Home,"['No', 'Old Banglore Road Hosur', 'Urban', 'Tamil Nadu', 'Krishnagiri', 'Hosur', 'Hosur Mpty']",635109.0,04344- 242898,Others
Kps Hospital Mettupalayam,"['Annur Road', 'Coimbatore', 'Tamil Nadu', 'Mettupalayam']",641301.0,04254-224314,Others
Mkp Clinic Mettupalayam,"['Kumaran Complex', 'Mettupalayam', 'Tamil Nadu', 'Coimbatore']",641301.0,0422-2222917,Others
Nm Hpl Coimbatore,"['Rahuman Sait Colony', 'Coimbatore', 'Tamil Nadu', 'Coimbatore South']",641045.0,0422-2317533,Others
Sri Ragavendra Pvt Nursing Home,"['Sh', 'Kovilpatti Road', 'Ettiapuram Town', 'Tamil Nadu', 'Thoothukkudi', 'Kovilpatti', 'Kovilpatty']",628902.0,46322271310,Others
Rajalakshmi Hospital Coimbatore,"['Sambandam Road', 'Coimbatore', 'Tamil Nadu', 'Coimbatore North']",641002.0,0422-2554583,Others
Shanthi Private Hospital,"['Opp Lal Sipcot Hosur', 'Urban', 'Tamil Nadu', 'Krishnagiri']",635109.0,04344-276894,Others
Rani Selvapuram Coimbatore,"['Perur Main Road', 'Coimbatore', 'Tamil Nadu', 'Coimbatore North']",641026.0,0422-2347403,Others
Adhitya Nursing Home,"['No', 'Senthamangalam Main Road', 'Namakkal', 'Tamil Nadu', 'Namakkal   ', 'Namakkal Mpty']",637001.0,04286-227084,Others
Rg Clinic Mettupalayam Coimbatore,"['Jul', 'Bharath Bhavan Road', 'Coimbatore', 'Tamil Nadu', 'Mettupalayam']",641301.0,0422-222377,Others
Meera Pvt Nursing Home,"['No', 'M G Road Hosur', 'Urban', 'Tamil Nadu', 'Krishnagiri', 'Hosur', 'Hosur Mpty']",635109.0,04344- 242827.,Others
Sakthi Hospital Mettupalayam,"['Near Sanjose School', 'Mettupalayam', 'Tamil Nadu', 'Coimbatore']",641301.0,0422-223228,Others
Aravind Hospital,"['B', 'Gandhi Salai', 'Rasipuram', 'Tamil Nadu', 'Namakkal   ', 'Rasipuram Mpty']",637408.0,04287-221526,Others
Aishwarya Medical Centre,"['No', 'Sivagnanam Street', 'Namakkal', 'Tamil Nadu', 'Namakkal   ', 'Namakkal Mpty']",637001.0,04286-226666,Others
Santhya Hpl Sirumugai Coimbatore,"['Santhya Hpl Sirumugai Coimbatore', 'Sirumugai', 'Tamil Nadu', 'Coimbatore', 'Mettupalayam']",641302.0,0422-252118,Others
Aachi Hospital,"['Kandar Nagar', 'Paramathi Velur', 'Tamil Nadu', 'Namakkal   ', 'Paramathi-Velur', 'Paramathi']",638182.0,04268-224375,Others
Velnath Pvt Nursing Home,"['No', 'Old Bangalore Road Hosur', 'Urban', 'Tamil Nadu', 'Krishnagiri', 'Hosur', 'Hosur Mpty']",635109.0,04344 - 242768,Others
