drug,sideeffects
butenafine,"Dermatitis contact, Dysgeusia, Pruritus, Erythema, Pain"
butoconazole,"Muscle spasms, Swelling, Vulvovaginal burning sensation, Abdominal pain, Gastrointestinal pain"
butorphanol,"Rhinitis, Ear disorder, Nasal congestion, Eye pain, Paresis"
cabazitaxel,"Pain in extremity, Hypoaesthesia, Gastrooesophageal reflux disease, Blood bilirubin increased, Electrolyte imbalance"
cabergoline,"Menopausal symptoms, Flatulence, Dermatitis, Weight decreased, Pericardial effusion"
cabozantinib,"Localised oedema, Cardiac arrest, Mucosal inflammation, Diarrhoea, Nervous system disorder"
caffeine,"Blood creatinine increased, Dry skin, Brain hypoxia, Haemoglobin, Agitation"
calcipotriol,"Skin atrophy, Folliculitis, Skin irritation, Hypercalcaemia, Skin exfoliation"
calcium,"Confusional state, Loss of consciousness, Constipation, Dysgeusia, Vasospasm"
canagliflozin,"Blood phosphorus increased, Vulvovaginal pruritus, Rash, Polydipsia, Pollakiuria"
candesartan,"Nervousness, Arthralgia, Fatigue, Blood bilirubin increased, Muscular weakness"
capecitabine,"Renal impairment, Appetite disorder, Haematochezia, Urinary incontinence, Diabetes mellitus"
capreomycin,"Foetor hepaticus, Urine abnormality, Body temperature increased, Nephropathy toxic, Urticaria"
capsaicin,"Application site burn, Infestation, Application site dryness, Application site pruritus, HIV associated nephropathy"
captopril,"Gastrointestinal pain, Laryngeal oedema, Hepatic necrosis, Anaphylactic shock, Jaundice cholestatic"
carbachol,"Eye irritation, Salivary hypersecretion, Asthma, Muscle spasms, Headache"
carbamazepine,"Onychomadesis, Vanishing bile duct syndrome, Purpura, Galactorrhoea, Porphyria non-acute"
carbenicillin,"Vaginal inflammation, Nausea, Pruritus, Dyspepsia, Body temperature increased"
carbidopa,"Diarrhoea, Muscle twitching, Dizziness, Urticaria, Cough"
carbimazole,"Mouth ulceration, Rash, Infection, Musculoskeletal discomfort, Neutropenia"
carbinoxamine,"Photosensitivity reaction, Paraesthesia, Tachycardia, Pollakiuria, Vomiting"
carboplatin,"Hypocalcaemia, Haemoglobin, Cardiac disorder, Blood creatinine increased, Pancytopenia"
carboprost,"Diarrhoea, Body temperature increased, Musculoskeletal discomfort, Menopausal symptoms, Injection site pain"
carisoprodol,"Syncope, Convulsion, Dyspepsia, Tremor, Vomiting"
carnitine,"Pruritus, Bronchitis, Haemorrhage, Drug dependence, Weight decreased"
carteolol,"Lacrimation increased, Vision blurred, Oedema, Hypoglycaemia, Depression"
carvedilol,"Blood triglycerides increased, Anaphylactoid reaction, Viral infection, Sinusitis, Hypotension"
cefaclor,"Musculoskeletal discomfort, Hypotension, Somnolence, Convulsion, Candida infection"
cefadroxil,"Somnolence, Body temperature increased, Pseudomembranous colitis, Angioedema, Dizziness"
cefazolin,"Anorectal discomfort, Aspartate aminotransferase increased, Abdominal pain, Leukopenia, Oral candidiasis"
cefdinir,"Gastrointestinal pain, Asthenia, Pancytopenia, Nephropathy, Abnormal faeces"
cefditoren,"Hyperglycaemia, Body temperature increased, Hypertonia, Musculoskeletal discomfort, Dyspepsia"
cefepime,"Eosinophilia, Bronchitis, Feeling abnormal, Renal failure, Vomiting"
cefixime,"Neutropenia, Convulsion, Dizziness, Hyperbilirubinaemia, Haemoglobin"
cefotaxime,"Hepatic function abnormal, Bronchospasm, Discomfort, Neutropenia, Renal impairment"
cefotetan,"Haemoglobin, Haemolytic anaemia, Superinfection, Rash, Agranulocytosis"
cefoxitin,"Pancytopenia, Hypotension, Body temperature increased, Serum sickness, Superinfection"
cefpodoxime,"Oral disorder, Disturbance in attention, Migraine, Convulsion, Toothache"
cefprozil,"Aplastic anaemia, Erythema multiforme, Eosinophilia, Feeling abnormal, Prothrombin level increased"
ceftaroline,"Palpitations, Constipation, Coombs direct test positive, Hypersensitivity, Gastrointestinal disorder"
ceftazidime,"Agranulocytosis, Jaundice, Haemoglobin, Neutropenia, Cardio-respiratory arrest"
ceftizoxime,"Nausea, Anaphylactic shock, Cellulitis, Body temperature increased, Tenderness"
ceftobiprole,"Rash, Insomnia, Dyspnoea, Dizziness, Diarrhoea"
ceftriaxone,"Feeling hot, Discomfort, Hypersensitivity, Hyperkinesia, Malaise"
cefuroxime,"Urethral pain, Muscle tightness, Gastrointestinal infection, Erythema, Body temperature increased"
celecoxib,"Bronchitis, Skin disorder, Cardiac failure congestive, Renal failure acute, Dermatitis atopic"
celiprolol,"Skin disorder, Atrioventricular block, Abdominal pain, Diabetes mellitus, Bradycardia"
cephalexin,"Stevens-Johnson syndrome, Erythema multiforme, Diarrhoea, Anaphylactic shock, Body temperature increased"
cephem,"Abdominal pain, Body temperature increased, Pseudomembranous colitis, Renal failure, Insomnia"
cerivastatin,"Musculoskeletal discomfort, Hepatitis chronic active, Oedema, Anxiety, Muscle spasms"
cetirizine,"Tremor, Hyperkeratosis, Tongue disorder, Parosmia, Nightmare"
cetrorelix,"Anaphylactic shock, Imperforate hymen, Hot flush, Ventricular septal defect, Developmental glaucoma"
cevimeline,"Aggression, Paronychia, Feeling abnormal, Haemoglobin, Duodenitis"
chlorambucil,"Mouth ulceration, Urticaria, Infection, Thrombocytopenia, Lymphadenopathy"
chloramphenicol,"Leukopenia, Neuritis, Cyanosis, Dermatitis, Hypersensitivity"
chlordiazepoxide,"Dizziness, Shock, Feeling abnormal, Confusional state, Libido decreased"
chlorhexidine,"Headache, Gingival hyperplasia, Dry mouth, Myalgia, Anaphylactic shock"
chloride,"Extravasation, Abscess, Gastrointestinal ulcer haemorrhage, Diarrhoea, Necrosis"
chloroprocaine,"Hypotension, Respiratory arrest, Headache, Sneezing, Shock"
chloroquine,"Tinnitus, Anaphylactic shock, Decreased appetite, Hypotension, Headache"
chlorpheniramine,"Agranulocytosis, Haemolytic anaemia, Irritability, Wheezing, Pollakiuria"
chlorpromazine,"Shock, Visual impairment, Cardiac arrest, Influenza, Haemolytic anaemia"
chlorpropamide,"Leukopenia, Porphyria non-acute, Haemolytic anaemia, Decreased appetite, Drug interaction"
chlorthalidone,"Headache, Rash, Dermatitis, Abdominal discomfort, Urticaria"
chlorzoxazone,"Ill-defined disorder, Angioedema, Somnolence, Dizziness, Dermatitis"
choline,"Dizziness, Agitation, Haematemesis, Pruritus generalised, Palpitations"
chromium,"Hepatocellular injury, Coma, Convulsion, Liver injury, Vomiting"
ciclesonide,"Fracture, Palpitations, Lip swelling, Chest pain, Nasopharyngitis"
ciclopirox,"Application site rash, Alopecia, Skin disorder, Nail disorder, Dry skin"
cidofovir,"Mediastinal disorder, Urinary tract infection, Blood creatinine increased, Arthralgia, Lung disorder"
cilazapril,"Conjunctivitis, Thrombocytopenic purpura, Dysgeusia, Cerebrovascular accident, Laryngeal oedema"
cilostazol,"Nausea, Malaise, Bursitis, Oedema peripheral, Vasodilation procedure"
cimetidine,"Tachycardia, Headache, Confusional state, Erectile dysfunction, Renal impairment"
cinacalcet,"Dyspnoea, Arrhythmia, Tetany, Upper respiratory tract infection, Multiple fractures"
cinoxacin,"Erythema multiforme, Vomiting, Nausea, Angioedema, Pain"
ciprofloxacin,"Pancytopenia, Dysgeusia, Depression, Ventricular extrasystoles, Muscle spasms"
cisatracurium,"Pruritus, Muscular weakness, Wheezing, Cardiovascular disorder, Tachycardia"
cisplatin,"Discomfort, Extravasation, Leukoencephalopathy, Tinnitus, Retinal toxicity"
citalopram,"Arthralgia, Dyspnoea, Euphoric mood, Ear pain, Haematoma"
citric,"Abdominal pain upper, Flat affect, Abdominal discomfort, Electrocardiogram QRS complex, Diarrhoea"
cladribine,"Aplastic anaemia, Cyst, Haemorrhage, Urinary tract infection, Infusion site reaction"
clarithromycin,"Aspartate aminotransferase increased, Hearing impaired, Cough, Corneal opacity, Convulsion"
clemastine,"Dyspepsia, Diarrhoea, Hyperhidrosis, Tremor, Dizziness"
clevidipine,"Tachycardia, Ileus, Dyspnoea, Hypersensitivity, Oxygen saturation decreased"
clindamycin,"Urticaria, Bacterial infection, Body temperature increased, Abdominal pain, Fatigue"
clobazam,"Leukopenia, Confusional state, Suicidal behaviour, Hyperhidrosis, Cough"
clobetasol,"Dermatitis, Rash, Skin fissures, Application site discolouration, Hypersensitivity"
clobetasone,"Immune system disorder, Infection, Skin disorder, Hyperglycaemia, Skin atrophy"
clocortolone,"Infection, Pruritus, Folliculitis, Miliaria, Leukoderma"
clodronate,"Renal failure, Liver disorder, Neoplasm malignant, Osteonecrosis of jaw, Pneumonia"
clofarabine,"Renal failure acute, Escherichia sepsis, Pneumonia mycoplasmal, Connective tissue disorder, Urethral disorder"
clofazimine,"Depression, Cystitis, Eosinophilia, Dermatitis exfoliative, Corneal pigmentation"
clomiphene,"Dermatitis, Menorrhagia, Breast cancer, Tracheo-oesophageal fistula, Musculoskeletal discomfort"
clomipramine,"Haemorrhoids, Intestinal obstruction, Bradycardia, Diarrhoea, Mania"
clonazepam,"Drug abuse, Disorientation, Musculoskeletal discomfort, Hypotonia, Dehydration"
clonidine,"Abdominal pain, Shock, Nervous system disorder, Blood glucose increased, Sneezing"
clopidogrel,"Insomnia, Angioedema, Haemoptysis, Iron deficiency anaemia, Dizziness"
clorazepate,"Insomnia, Confusional state, Dysarthria, Blood pressure systolic decreased, Dizziness"
clotrimazole,"Cystitis, Flatulence, Dermatitis, Pain, Skin irritation"
clozapine,"Pallor, Pancreatitis, Toxicity to various agents, Haematemesis, Delirium"
cobicistat,"Dermatitis, Proteinuria, Dyspepsia, Vomiting, Sleep disorder"
cocaine,"Tension, Vomiting, Mydriasis, Agitation, Respiratory failure"
codeine,"Hyperhidrosis, Asthenia, Orthostatic hypotension, Discomfort, Breast disorder"
colchicine,"Malnutrition, Alanine aminotransferase increased, Rhabdomyolysis, Diarrhoea, Ulcerative keratitis"
colesevelam,"Haemorrhoids, Asthenia, Abnormal faeces, Constipation, Upper respiratory tract infection"
colestimide,"Polydipsia, Urticaria, Oesophagitis, Abdominal distension, Musculoskeletal discomfort"
colestipol,"Diarrhoea, Insomnia, Dyspepsia, Sinus headache, Nausea"
colestyramine,"Ulcer, Chest pain, Urticaria, Flatulence, Abdominal distension"
conivaptan,"Infusion site swelling, Cardiac failure, Vomiting, Mediastinal disorder, Infusion site reaction"
conjugated,"Back pain, Neoplasm malignant, Cystitis noninfective, Nausea, Jaundice"
copolymer,"Ear pain, Meningitis, Diarrhoea, Dyspnoea, Goitre"
copper,"Vaginal discharge, Muscle spasms, Dysmenorrhoea, Dermatitis atopic, Urticaria"
cortisol,"Body temperature increased, Arthropathy, Epilepsy, Hiccups, Osteonecrosis"
cortisone,"Acute coronary syndrome, Fluid retention, Spinal compression fracture, Embolism, Nausea"
cosyntropin,"Connective tissue disorder, Myopathy, Hypertension, Cardiac hypertrophy, Hypernatraemia"
crizotinib,"Infection, Eye disorder, Mediastinal disorder, Generalised oedema, Fatigue"
crotamiton,"Dermatitis, Rash, Dermatitis, Pruritus"
cyanocobalamin,"Polycythaemia vera, Asthenia, Headache, Rash, Thrombosis"
cyclizine,"Pruritus, Hypertension, Oculogyric crisis, Nervous system disorder, Skin disorder"
cyclobenzaprine,"Dyspnoea, Dyspepsia, Hallucination, Shock, Coordination abnormal"
cyclopentolate,"Ataxia, Agitation, Gastroenteritis, Vasodilation procedure, Hallucination"
cyclophosphamide,"Deafness, Bronchospasm, Acute leukaemia, Nasal congestion, Pericardial effusion"
cyproheptadine,"Conversion disorder, Shock, Pollakiuria, Nervousness, Confusional state"
cyproterone,"Erythema nodosum, Spermatozoa abnormal, Nitrogen balance negative, Mental disorder, Acne"
cysteamine,"Mood swings, Joint hyperextension, Connective tissue disorder, Convulsion, Discomfort"
cytarabine,"Allergic oedema, Urinary tract disorder, Cytarabine syndrome, Infestation, Syncope"
cytokinin,"Angioedema, Inflammation, Hypersensitivity, Visual acuity reduced, Periorbital oedema"
d-telaprevir,"Renal failure acute, Urticaria, Shock, Renal failure acute, Acquired immunodeficiency syndrome"
dabigatran,"Allergic oedema, Immune system disorder, Gastrointestinal haemorrhage, Angina pectoris, Dizziness"
dabrafenib,"Infestation, Dehydration, Muscle spasms, Rash pustular, Vision blurred"
dacarbazine,"Hepatotoxicity, Venoocclusive disease, Febrile neutropenia, Influenza, Convulsion"
dalbavancin,"Gastrointestinal pain, Dermatitis, Dizziness, Melaena, Thrombocytopenia"
dalteparin,"Hypertension, Dermatitis bullous, Rectal haemorrhage, Pneumonia, Blood creatinine increased"
danazol,"Joint lock, Weight increased, Affect lability, Fatigue, Splenic peliosis"
dantrolene,"Erythema, Infusion site pain, Ill-defined disorder, Hair growth abnormal, Convulsion"
dapagliflozin,"Polyuria, Fracture, Blood pressure fluctuation, Urine output increased, Blood urea increased"
dapsone,"Suicide attempt, Erythema, Insomnia, Tachycardia, Protein urine present"
darifenacin,"Face oedema, Hyperhidrosis, Headache, Insomnia, Tachycardia"
darunavir,"Abdominal distension, Hiccups, Dry mouth, Hepatitis, Blood alkaline phosphatase increased"
dasatinib,"Photosensitivity reaction, Gastrointestinal ulcer, Feeling abnormal, Tachycardia, Pruritus"
deferasirox,"Influenza, Protein urine present, Glycosuria, Sleep disorder, Haemorrhage"
deferiprone,"Aspartate aminotransferase increased, Cardiac disorder, Diarrhoea, Rectal haemorrhage, Cerebral haemorrhage"
deferoxamine,"Visual impairment, Cyanosis, Blood disorder, Aphasia, Scab"
degarelix,"Mental disability, Mental disorder, Nodule, Myocardial infarction, Diabetes mellitus"
delamanid,"Oropharyngeal candidiasis, Dehydration, Disturbance in sexual arousal, Acne, Decreased appetite"
delavirdine,"Chest pain, Gastrooesophageal reflux disease, Aphthous stomatitis, Hyperkalaemia, Stevens-Johnson syndrome"
delta,"Ataxia, Nervousness, Tinnitus, Amnesia, Confusional state"
demeclocycline,"Thyroid function test abnormal, Dermatitis exfoliative, Oesophageal ulcer, Nephrogenic diabetes insipidus, Arthralgia"
demethyl,"Peptic ulcer, Irritability, Peptic ulcer perforation, Osteonecrosis, Infection"
deprenyl,"Gastrointestinal pain, Hallucination, Hyperglycaemia, Diarrhoea, Somnolence"
desflurane,"Coagulopathy, Encephalopathy, Angiopathy, Urticaria, Rhabdomyolysis"
desipramine,"Drug withdrawal syndrome, Hallucination, Body temperature increased, Pancreatic enzymes increased, Petechiae"
desloratadine,"Gastrointestinal pain, Vomiting, Infestation, Rash, Convulsion"
desmopressin,"Hypernatraemia, Acute myocardial infarction, Oropharyngeal pain, Respiratory tract infection, Aggression"
desogestrel,"Dermatitis, Mood swings, Malnutrition, Neoplasm, Nausea"
desonide,"Rash, Pharyngitis, Asthma, Application site burn, Mediastinal disorder"
desoximetasone,"Dermatitis contact, Erythema, Infection, Dermatitis infected, Erythema"
desvenlafaxine,"Orgasm abnormal, Tinnitus, Mydriasis, Irritability, Toxic epidermal necrolysis"
dexamethasone,"Fatigue, Vomiting, Fracture, Fluid retention, Thrombophlebitis"
dexmedetomidine,"Leukocytosis, Neuritis, Respiratory depression, Ventricular tachycardia, Haemoglobin decreased"
dexpanthenol,"Pruritus, Hypersensitivity, Dermatitis, Vomiting, Paraesthesia"
dexrazoxane,"Vaginal haemorrhage, Myalgia, Blood lactate dehydrogenase increased, Syncope, Alopecia"
dextran,"Vomiting, Anaphylactoid reaction, Infection, Anaphylactic shock, Wheezing"
dextromethorphan,"Immune system disorder, Fatigue, Hypersensitivity, Agitation, Vomiting"
dextrorphan,"Urticaria, Mental disability, Dizziness, Hypokinesia, Affect lability"
diatrizoate,"Speech disorder, Electrocardiogram abnormal, Laryngeal oedema, Vasodilatation, Renal tubular necrosis"
diazepam,"Muscle twitching, Transaminases increased, Emotional poverty, Faecal incontinence, Hostility"
diazoxide,"Hypersensitivity, Abdominal pain, Malaise, Vision blurred, Ageusia"
dichlorphenamide,"Rash, Pollakiuria, Weight decreased, Feeling abnormal, Agranulocytosis"
diclofenac,"Muscle spasms, Purpura, Paraesthesia, Cardiac disorder, Hallucination"
dicloxacillin,"Neutropenia, Tongue discolouration, Convulsion, Lethargy, Laryngeal oedema"
dicyclomine,"Dizziness, Hypersensitivity, Injection site reaction, Mania, Tachyarrhythmia"
didanosine,"Hepatic function abnormal, Musculoskeletal discomfort, Myopathy, Musculoskeletal discomfort, Hepatotoxicity"
diethylenetriaminepentaacetic,"Diarrhoea, Pelvic pain, Cough, Hypersensitivity, Headache"
diethylpropion,"Emotional distress, Dysuria, Hyperhidrosis, Euphoric mood, Headache"
diflorasone,"Miliaria, Hypertrichosis, Dermatitis, Folliculitis, Pruritus"
diflunisal,"Visual impairment, Drug reaction with eosinophilia and systemic symptoms, Muscle spasms, Constipation, Dermatitis"
digoxin,"Gastrointestinal pain, Confusional state, Arrhythmia, Electrocardiogram PR prolongation, Atrial tachycardia"
dihydrocodeine,"Confusional state, Nervous system disorder, Rash, Angiopathy, Dysphoria"
dihydroergotamine,"Application site reaction, Diarrhoea, Musculoskeletal stiffness, Arthralgia, Hyperkinesia"
diltiazem,"Urinary tract disorder, Hallucination, Pharyngitis, Nasal congestion, Dysgeusia"
dimenhydrinate,"Dysuria, Dry mouth, Headache, Somnolence, Tachycardia"
dimercaprol,"Rhinorrhoea, Anxiety, Conjunctivitis, Vomiting, Abdominal pain"
dimercaptosuccinic,"Strangury, Hypersensitivity, Neuropathy peripheral, Eosinophilia, Dizziness"
diphenhydramine,"Irritability, Neuritis, Insomnia, Urinary retention, Asthenia"
dipivefrin,"Hypertension, Pain, Mydriasis, Tachycardia, Conjunctivitis"
dipyridamole,"Emotional distress, Tachycardia, Anaemia, Myocardial infarction, Musculoskeletal pain"
disopyramide,"Haemoglobin decreased, Dizziness, Insomnia, Cardiac failure congestive, Atrioventricular block"
disulfiram,"Tenderness, Polyneuropathy, Hepatitis, Fatigue, Dermatitis acneiform"
dobutamine,"Blood pressure systolic increased, Skin necrosis, Thrombocytopenia, Angina pectoris, Hypotension"
docetaxel,"Decreased appetite, Necrosis, Pneumonia, Dacryostenosis acquired, Deep vein thrombosis"
dofetilide,"Dizziness, Oedema peripheral, Hyperhidrosis, Cardiac failure, Infarction"
dolasetron,"Increased appetite, Hepatic function abnormal, Ataxia, Oliguria, Atrioventricular block first degree"
dolutegravir,"Skin disorder, Rash generalised, Drug eruption, Abdominal pain, Vomiting"
domperidone,"Menopausal symptoms, Blood prolactin increased, Dermatitis, Dizziness, Vomiting"
donepezil,"Abscess, Upper-airway cough syndrome, Hepatitis, Skin striae, Bladder pain"
dopamine,"Palpitations, Extravasation, Electrocardiogram QRS complex, Hypertension, Atrial fibrillation"
doripenem,"Diarrhoea, Erythema multiforme, Nausea, Clostridium difficile colitis, Anaphylactic shock"
dorzolamide,"Hyperglycaemia, Shock, Abdominal pain, Insomnia, Dermatitis contact"
dothiepin,"Weight increased, Galactorrhoea, Vomiting, Dermatitis, Fatigue"
doxapram,"Dyskinesia, Urinary retention, Hypoxia, Feeling hot, Ventricular fibrillation"
doxazosin,"Sudden death, Nausea, Tinnitus, Respiratory tract infection, Muscular weakness"
doxepin,"Shock, Hyperhidrosis, Pharyngitis, Abdominal pain, Bradycardia"
doxercalciferol,"Aspartate aminotransferase increased, Apathy, Musculoskeletal discomfort, Weight increased, Musculoskeletal discomfort"
doxorubicin,"Blood bilirubin increased, Gingivitis, Diarrhoea, Asthma, Haemoptysis"
doxycycline,"Swelling, Premenstrual syndrome, Photoonycholysis, Dysphagia, Vascular purpura"
dronedarone,"Blood creatinine increased, Skin disorder, Vomiting, Asthenia, Dysgeusia"
droperidol,"Cardiac arrest, Ventricular arrhythmia, Autonomic nervous system imbalance, Dizziness, Dizziness"
drospirenone,"Vascular occlusion, Breast disorder, Affect lability, Nausea, Nervous system disorder"
duloxetine,"Urine flow decreased, Erythema multiforme, Erectile dysfunction, Nephropathy, Musculoskeletal pain"
dutasteride,"Urticaria, Ejaculation failure, Breast swelling, Libido decreased, Breast cancer male"
dyphylline,"Irritability, Albuminuria, Nausea, Hypotension, Polyuria"
ecallantide,"Diarrhoea, Abdominal pain upper, Upper respiratory tract infection, Anaphylactic shock, Pain"
echothiophate,"Muscle twitching, Lenticular opacities, Vision blurred, Uveitis, Cyst"
econazole,"Prurigo, Pruritus, Erythema, Burning sensation, Pain"
edrophonium,"Diplopia, Incontinence, Diarrhoea, Bradycardia, Laryngospasm"
efavirenz,"Opportunistic infection, Amylase increased, Fasting, Hypercholesterolaemia, Delirium"
efinaconazole,"Ingrowing nail, Instillation site pain, Application site pain, Application site rash, Application site vesicles"
eicosapentaenoic,"Arthralgia, Musculoskeletal discomfort, Oropharyngeal pain"
eletriptan,"Ataxia, Hiccups, Headache, Chills, Pharyngitis"
eliglustat,"Dizziness, Flatulence, Migraine, Musculoskeletal discomfort, Cough"
eltrombopag,"Transaminases increased, Back pain, Pharyngitis, Fatigue, Pain in extremity"
elvitegravir,"Osteonecrosis, Suicide attempt, Diarrhoea, Somnolence, Suicidal ideation"
emedastine,"Eye pain, Dysgeusia, Pain, Skin disorder, Lacrimation increased"
empagliflozin,"Fungal infection, Arthralgia, Angiopathy, Bladder pain, Vulvitis"
emtricitabine,"Otitis media, Urinary tract disorder, Dysthymic disorder, Proteinuria, Rash macular"
enflurane,"Hepatic necrosis, Hypocapnia, Vomiting, Hepatic failure, Arrhythmia"
entacapone,"Depression, Cardiac disorder, Dyskinesia, Pathological gambling, Cholecystitis"
entecavir,"Somnolence, Dyspepsia, Hepatic cancer, Hepatic failure, Hepatorenal syndrome"
ephedrine,"Psychotic disorder, Tachycardia, Tension, Arrhythmia, Nervousness"
epinastine,"Pharyngitis, Rhinitis, Nasopharyngitis, Pruritus, Infection"
epinephrine,"Cerebrovascular accident, Paraesthesia, Peripheral coldness, Mydriasis, Disorientation"
epitopic,"Application site discomfort, Vision blurred, Corneal oedema, Nerve injury, Iritis"
eplerenone,"Hyperbilirubinaemia, Electrocardiogram abnormal, Muscle spasms, Alanine aminotransferase increased, Dizziness"
eprosartan,"Glycosuria, Dyspnoea, Bone pain, Asthma, Urinary tract infection"
ergonovine,"Diarrhoea, Nausea, Muscle spasms, Pleural fibrosis, Water intoxication"
ergotamine,"Musculoskeletal discomfort, Paraesthesia, Paraesthesia, Peripheral coldness, Pain"
eribulin,"Epistaxis, Herpes zoster, Vomiting, Abdominal pain, Aspartate aminotransferase increased"
erlotinib,"Deep vein thrombosis, Eye disorder, Alanine aminotransferase increased, Uveitis, Dysphagia"
ertapenem,"Anxiety, Atelectasis, Enteritis, Gout, Pyloric stenosis"
erythromycin,"Superinfection, Pseudomembranous colitis, Burning sensation, Dysgeusia, Stevens-Johnson syndrome"
eslicarbazepine,"Paraesthesia, Nervous system disorder, Migraine, Chest pain, Orthostatic hypotension"
esmolol,"Peripheral ischaemia, Thrombophlebitis, Chest pain, Nasopharyngitis, Oedema"
esomeprazole,"Flatulence, Blood uric acid increased, Cystitis, Dysuria, Vomiting"
estazolam,"Body temperature increased, Photosensitivity reaction, Arthralgia, Hostility, Amnesia"
estradiol,"Feeling abnormal, Tension headache, Back pain, Anaphylactic shock, Embolism venous"
estramustine,"Erectile dysfunction, Alopecia, Anxiety, Cardiac failure congestive, Dry skin"
estriol,"Breast cancer, Pelvic venous thrombosis, Pulmonary embolism, Dementia, Vascular purpura"
estrone,"Asthma, Metrorrhagia, Arthralgia, Hypocalcaemia, Angioedema"
ethacrynic,"Vision blurred, Nausea, Asthenia, Henoch-Schonlein purpura, Blood uric acid increased"
ethambutol,"Nausea, Scotoma, Lymphadenopathy, Neutropenia, Malaise"
ethionamide,"Diplopia, Dermatitis, Hypersensitivity, Dysgeusia, Somnolence"
ethosuximide,"Hypersensitivity, Agranulocytosis, Myopia, Eosinophilia, Pancytopenia"
ethotoin,"Insomnia, Hypoaesthesia, Body temperature increased, Ataxia, Diplopia"
etidronate,"Leukaemia, Angioedema, Hypercalcaemia of malignancy, Oral disorder, Pancytopenia"
etodolac,"Blood urea increased, Rash, Gastritis, Asthenia, Respiratory depression"
etomidate,"Hiccups, Tachycardia, Disinhibition, Bradycardia, Hypoventilation"
etoposide,"Hypertension, Blood alkaline phosphatase increased, Toxic epidermal necrolysis, Anaphylactic shock, Hyperhidrosis"
etoricoxib,"Lumbar radiculopathy, Visual impairment, Rales, Melaena, Diabetes mellitus"
etravirine,"Eye disorder, Hypertriglyceridaemia, Amnesia, Headache, Gastrointestinal disorder"
everolimus,"Glomerulonephritis, Dry mouth, Nasopharyngitis, Cough, Platelet count decreased"
exemestane,"Dysphonia, Pruritus, Musculoskeletal discomfort, Cardiac disorder, Gastric ulcer"
exenatide,"Pancreatitis necrotising, Renal failure acute, Abdominal discomfort, Nausea, Influenza"
ezetimibe,"Dry mouth, Blood alkaline phosphatase increased, Constipation, Erythema multiforme, Abdominal pain"
famciclovir,"Laryngeal pain, Pharyngitis, Jaundice cholestatic, Tinnitus, Enzyme abnormality"
famotidine,"Upper respiratory tract infection, Dizziness, Supraventricular extrasystoles, Arthralgia, Rash"
febuxostat,"Hepatitis, Paraesthesia, Dehydration, Immune system disorder, Tremor"
felbamate,"Gangrene, Anxiety, Henoch-Schonlein purpura, Dysarthria, Dysuria"
felodipine,"Dysuria, Photosensitivity reaction, Loss of consciousness, Rash, Muscle spasms"
fenofibrate,"Muscle spasms, Blood creatinine increased, Dyspepsia, Malaise, Arthritis"
fenofibric,"Alanine aminotransferase increased, Nervous system disorder, Asthenia, Arthralgia, Pain"
fenoldopam,"Myocardial infarction, Oliguria, Headache, Nausea, Insomnia"
fenoprofen,"Haematuria, Dyspepsia, Asthenia, Feeling abnormal, Asthenia"
fentanyl,"Pulmonary embolism, Drug withdrawal syndrome neonatal, Hypoaesthesia oral, Generalised oedema, Dysarthria"
ferumoxytol,"Paraesthesia, Acute coronary syndrome, Haemoglobin, Respiratory failure, Rash"
fesoterodine,"Mental disorder, Abdominal pain upper, Functional gastrointestinal disorder, Infestation, Gamma-glutamyltransferase increased"
fexofenadine,"Increased appetite, Fatigue, Paranoia, Abdominal pain, Somnolence"
fidaxomicin,"Nausea, Dyspepsia, Skin disorder, Dermatitis, Flatulence"
finasteride,"Testicular pain, Urticaria, Disturbance in sexual arousal, Hypersensitivity, Pruritus"
flavoxate,"Tension, Feeling abnormal, Dry mouth, Nervousness, Vertigo"
flecainide,"Ill-defined disorder, Haematuria, Hallucination, Apathy, Diarrhoea"
florbetaben,"Injection site pain, Application site erythema, Erythema, Pain, Injection site reaction"
florbetapir,"Dysgeusia, Skin disorder, Flushing, Infusion site rash, Urticaria"
flucloxacillin,"Oropharyngeal pain, Dermatitis, Discomfort, Serum sickness, Pseudomembranous colitis"
fluconazole,"Hepatobiliary disease, Clonic convulsion, Anaphylactic shock, Blood bilirubin increased, Female sexual dysfunction"
fludarabine,"Rhinitis, Musculoskeletal discomfort, Influenza, Feeling abnormal, Acquired haemophilia"
fludrocortisone,"Vascular purpura, Intracranial pressure increased, Myalgia, Osteoporosis, Oedema"
flumazenil,"Drug withdrawal syndrome, Tongue oedema, Headache, Depersonalisation, Dysphonia"
flumethasone,"Dermatitis contact, Hypertrichosis, Folliculitis, Dermatitis acneiform, Infection"
flunisolide,"Cough, Rash, Infection, Dysphonia, Loss of consciousness"
flunitrazepam,"Dermatitis, Amnesia, Headache, Fatigue, Aggression"
fluocinolone,"Otitis media, Upper respiratory tract infection, Gastrointestinal disorder, Skin atrophy, Tympanic membrane perforation"
fluocinonide,"Rash, Application site pain, Leukoderma, Hypertrichosis, Dermatitis"
fluorescein,"Oedema, Paraesthesia, Respiratory arrest, Hypotension, Immune system disorder"
fluoride,"Hypersensitivity, Discomfort, Dermatitis atopic, Excoriation"
fluorometholone,"Scotoma, Uveitis, Endophthalmitis, Glaucoma, Ulcerative keratitis"
fluoxetine,"Hirsutism, Skin discolouration, Insomnia, Uterine leiomyoma, Ageusia"
